Obec;Okres;Kraj
Koksov-Baksa;Okres Kosice - okolie;Kosicky kraj
Kolackov;Okres Stara Lubovna;Presovsky kraj
Kolacno;Okres Partizanske;Trenciansky kraj
Kolare;Okres Velky Krtis;Banskobystricky kraj
Kolarovice;Okres Bytca;Zilinsky kraj
Kolarovo;Okres Komarno;Nitriansky kraj
Kolbasov;Okres Snina;Presovsky kraj
Kolbovce;Okres Stropkov;Presovsky kraj
Kolibabovce;Okres Sobrance;Kosicky kraj
Kolinany;Okres Nitra;Nitriansky kraj
Kolinovce;Okres Spisska Nova Ves;Kosicky kraj
Kolonica;Okres Snina;Presovsky kraj
Kolta;Okres Nove Zamky;Nitriansky kraj
Komarany;Okres Vranov nad Toplou;Presovsky kraj
Komarno;Okres Komarno;Nitriansky kraj
Komarov;Okres Bardejov;Presovsky kraj
Komarovce;Okres Kosice - okolie;Kosicky kraj
Komjatice;Okres Nove Zamky;Nitriansky kraj
Komjatna;Okres Ruzomberok;Zilinsky kraj
Komoca;Okres Nove Zamky;Nitriansky kraj
Koniarovce;Okres Topolcany;Nitriansky kraj
Konradovce;Okres Rimavska Sobota;Banskobystricky kraj
Konska, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Konska, okres Zilina;Okres Zilina;Zilinsky kraj
Konus;Okres Sobrance;Kosicky kraj
Kopcany;Okres Skalica;Trnavsky kraj
Kopernica;Okres Ziar nad Hronom;Banskobystricky kraj
Koplotovce;Okres Hlohovec;Trnavsky kraj
Koprivnica;Okres Bardejov;Presovsky kraj
Kordiky;Okres Banska Bystrica;Banskobystricky kraj
Korejovce;Okres Svidnik;Presovsky kraj
Korna;Okres Cadca;Zilinsky kraj
Koromla;Okres Sobrance;Kosicky kraj
Korunkova;Okres Stropkov;Presovsky kraj
Korytarky;Okres Detva;Banskobystricky kraj
Korytne;Okres Levoca;Presovsky kraj
Kos;Okres Prievidza;Trenciansky kraj
Kosariska;Okres Myjava;Trenciansky kraj
Kosarovce;Okres Humenne;Presovsky kraj
Koseca;Okres Ilava;Trenciansky kraj
Kosecke Podhradie;Okres Ilava;Trenciansky kraj
Kosice - mestska cast Barca;Okres Kosice IV;Kosicky kraj
Kosice - mestska cast Dargovskych hrdinov;Okres Kosice III;Kosicky kraj
Kosice - mestska cast Dzungla;Okres Kosice I;Kosicky kraj
Kosice - mestska cast Juh;Okres Kosice IV;Kosicky kraj
Kosice - mestska cast Kavecany;Okres Kosice I;Kosicky kraj
Kosice - mestska cast Kosicka Nova Ves;Okres Kosice III;Kosicky kraj
Kosice - mestska cast Krasna;Okres Kosice IV;Kosicky kraj
Kosice - mestska cast Lorincik;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Lunik IX;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Myslava;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Nad jazerom;Okres Kosice IV;Kosicky kraj
Kosice - mestska cast Peres;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Polov;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Saca;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Sebastovce;Okres Kosice IV;Kosicky kraj
Kosice - mestska cast Sever;Okres Kosice I;Kosicky kraj
Kosice - mestska cast Sidlisko KVP;Okres Kosice II;Kosicky kraj
Kosice - mestska cast Sidlisko Tahanovce;Okres Kosice I;Kosicky kraj
Kosice - mestska cast Stare Mesto;Okres Kosice I;Kosicky kraj
Kosice - mestska cast Tahanovce;Okres Kosice I;Kosicky kraj
Kosice - mestska cast Vysne Opatske;Okres Kosice IV;Kosicky kraj
Kosice - mestska cast Zapad;Okres Kosice II;Kosicky kraj
Kosicka Bela;Okres Kosice - okolie;Kosicky kraj
Kosicka Polianka;Okres Kosice - okolie;Kosicky kraj
Kosicke Olsany;Okres Kosice - okolie;Kosicky kraj
Kosicky Klecenov;Okres Kosice - okolie;Kosicky kraj
Kosihovce;Okres Velky Krtis;Banskobystricky kraj
Kosihy nad Iplom;Okres Velky Krtis;Banskobystricky kraj
Koskovce;Okres Humenne;Presovsky kraj
Kosolna;Okres Trnava;Trnavsky kraj
Kosorin;Okres Ziar nad Hronom;Banskobystricky kraj
Kostany nad Turcom;Okres Martin;Zilinsky kraj
Kostolany nad Hornadom;Okres Kosice - okolie;Kosicky kraj
Kostolany pod Tribecom;Okres Zlate Moravce;Nitriansky kraj
Kostolec;Okres Povazska Bystrica;Trenciansky kraj
Kostoliste;Okres Malacky;Bratislavsky kraj
Kostolna pri Dunaji;Okres Senec;Bratislavsky kraj
Kostolna Ves;Okres Prievidza;Trenciansky kraj
Kostolna-Zariecie;Okres Trencin;Trenciansky kraj
Kostolne;Okres Myjava;Trenciansky kraj
Kostolne Kracany;Okres Dunajska Streda;Trnavsky kraj
Kosuty;Okres Galanta;Trnavsky kraj
Kotesova;Okres Bytca;Zilinsky kraj
Kotmanova;Okres Lucenec;Banskobystricky kraj
Kotrcina Lucka;Okres Zilina;Zilinsky kraj
Kovacova, okres Roznava;Okres Roznava;Kosicky kraj
Kovacova, okres Zvolen;Okres Zvolen;Banskobystricky kraj
Kovacovce;Okres Velky Krtis;Banskobystricky kraj
Kovalov;Okres Senica;Trnavsky kraj
Kovalovec;Okres Skalica;Trnavsky kraj
Kovarce;Okres Topolcany;Nitriansky kraj
Kozany;Okres Bardejov;Presovsky kraj
Kozarovce;Okres Levice;Nitriansky kraj
Kozelnik;Okres Banska Stiavnica;Banskobystricky kraj
Kozi Vrbovok;Okres Krupina;Banskobystricky kraj
Kozuchov;Okres Trebisov;Kosicky kraj
Kozuchovce;Okres Stropkov;Presovsky kraj
Kracunovce;Okres Svidnik;Presovsky kraj
Krahule;Okres Ziar nad Hronom;Banskobystricky kraj
Krajna Bystra;Okres Svidnik;Presovsky kraj
Krajna Polana;Okres Svidnik;Presovsky kraj
Krajna Porubka;Okres Svidnik;Presovsky kraj
Krajne;Okres Myjava;Trenciansky kraj
Krajne Cierno;Okres Svidnik;Presovsky kraj
Krakovany;Okres Piestany;Trnavsky kraj
Kral;Okres Rimavska Sobota;Banskobystricky kraj
Kraliky;Okres Banska Bystrica;Banskobystricky kraj
Kralov Brod;Okres Galanta;Trnavsky kraj
Kralova Lehota;Okres Liptovsky Mikulas;Zilinsky kraj
Kralova nad Vahom;Okres Sala;Nitriansky kraj
Kralova pri Senci;Okres Senec;Bratislavsky kraj
Kralovany;Okres Dolny Kubin;Zilinsky kraj
Kralovce;Okres Kosice - okolie;Kosicky kraj
Kralovce-Krnisov;Okres Krupina;Banskobystricky kraj
Kralovicove Kracany;Okres Dunajska Streda;Trnavsky kraj
Kralovsky Chlmec;Okres Trebisov;Kosicky kraj
Kraskovo;Okres Rimavska Sobota;Banskobystricky kraj
Krasna Luka;Okres Sabinov;Presovsky kraj
Krasna Ves;Okres Banovce nad Bebravou;Trenciansky kraj
Krasnany;Okres Zilina;Zilinsky kraj
Krasno;Okres Partizanske;Trenciansky kraj
Krasno nad Kysucou;Okres Cadca;Zilinsky kraj
Krasnohorska Dlha Luka;Okres Roznava;Kosicky kraj
Krasnohorske Podhradie;Okres Roznava;Kosicky kraj
Krasnovce;Okres Michalovce;Kosicky kraj
Krasny Brod;Okres Medzilaborce;Presovsky kraj
Kravany nad Dunajom;Okres Komarno;Nitriansky kraj
Kravany, okres Poprad;Okres Poprad;Presovsky kraj
Kravany, okres Trebisov;Okres Trebisov;Kosicky kraj
Krcava;Okres Sobrance;Kosicky kraj
Kremna;Okres Stara Lubovna;Presovsky kraj
Kremnica;Okres Ziar nad Hronom;Banskobystricky kraj
Kremnicke Bane;Okres Ziar nad Hronom;Banskobystricky kraj
Krislovce;Okres Stropkov;Presovsky kraj
Krisovska Lieskova;Okres Michalovce;Kosicky kraj
Kristy;Okres Sobrance;Kosicky kraj
Kriva;Okres Dolny Kubin;Zilinsky kraj
Krivan;Okres Detva;Banskobystricky kraj
Krivany;Okres Sabinov;Presovsky kraj
Krive;Okres Bardejov;Presovsky kraj
Krivoklat;Okres Ilava;Trenciansky kraj
Krivosud-Bodovka;Okres Trencin;Trenciansky kraj
Krize;Okres Bardejov;Presovsky kraj
Krizova Ves;Okres Kezmarok;Presovsky kraj
Krizovany;Okres Presov;Presovsky kraj
Krizovany nad Dudvahom;Okres Trnava;Trnavsky kraj
Krna;Okres Poltar;Banskobystricky kraj
Krnca;Okres Topolcany;Nitriansky kraj
Krokava;Okres Rimavska Sobota;Banskobystricky kraj
Krompachy;Okres Spisska Nova Ves;Kosicky kraj
Krpelany;Okres Martin;Zilinsky kraj
Krskany;Okres Levice;Nitriansky kraj
Krtovce;Okres Topolcany;Nitriansky kraj
Krucov;Okres Stropkov;Presovsky kraj
Krupina;Okres Krupina;Banskobystricky kraj
Krusetnica;Okres Namestovo;Zilinsky kraj
Krusinec;Okres Stropkov;Presovsky kraj
Krusovce;Okres Topolcany;Nitriansky kraj
Kruzlov;Okres Bardejov;Presovsky kraj
Kruzlova;Okres Svidnik;Presovsky kraj
Kruzna;Okres Roznava;Kosicky kraj
Kruzno;Okres Rimavska Sobota;Banskobystricky kraj
Ksinna;Okres Banovce nad Bebravou;Trenciansky kraj
Kubanovo;Okres Levice;Nitriansky kraj
Kucin, okres Bardejov;Okres Bardejov;Presovsky kraj
Kucin, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Kuchyna;Okres Malacky;Bratislavsky kraj
Kuklov;Okres Senica;Trnavsky kraj
Kukova;Okres Svidnik;Presovsky kraj
Kukucinov;Okres Levice;Nitriansky kraj
Kunerad;Okres Zilina;Zilinsky kraj
Kunesov;Okres Ziar nad Hronom;Banskobystricky kraj
Kunova Teplica;Okres Roznava;Kosicky kraj
Kuralany;Okres Levice;Nitriansky kraj
Kurima;Okres Bardejov;Presovsky kraj
Kurimany;Okres Levoca;Presovsky kraj
Kurimka;Okres Svidnik;Presovsky kraj
Kurov;Okres Bardejov;Presovsky kraj
Kusin;Okres Michalovce;Kosicky kraj
Kutniky;Okres Dunajska Streda;Trnavsky kraj
Kuty;Okres Senica;Trnavsky kraj
Kuzmice, okres Topolcany;Okres Topolcany;Nitriansky kraj
Kuzmice, okres Trebisov;Okres Trebisov;Kosicky kraj
Kvacany, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Kvacany, okres Presov;Okres Presov;Presovsky kraj
Kvakovce;Okres Vranov nad Toplou;Presovsky kraj
Kvasov;Okres Puchov;Trenciansky kraj
Kvetoslavov;Okres Dunajska Streda;Trnavsky kraj
Kyjatice;Okres Rimavska Sobota;Banskobystricky kraj
Kyjov;Okres Stara Lubovna;Presovsky kraj
Kyncelova;Okres Banska Bystrica;Banskobystricky kraj
Kysak;Okres Kosice - okolie;Kosicky kraj
Kyselica;Okres Dunajska Streda;Trnavsky kraj
Kysta;Okres Trebisov;Kosicky kraj
Kysucke Nove Mesto;Okres Kysucke Nove Mesto;Zilinsky kraj
Kysucky Lieskovec;Okres Kysucke Nove Mesto;Zilinsky kraj
Lab;Okres Malacky;Bratislavsky kraj
Lackov;Okres Krupina;Banskobystricky kraj
Lackova;Okres Stara Lubovna;Presovsky kraj
Lackovce;Okres Humenne;Presovsky kraj
Lada;Okres Presov;Presovsky kraj
Ladce;Okres Ilava;Trenciansky kraj
Ladice;Okres Zlate Moravce;Nitriansky kraj
Ladmovce;Okres Trebisov;Kosicky kraj
Ladomerska Vieska;Okres Ziar nad Hronom;Banskobystricky kraj
Ladomirov;Okres Snina;Presovsky kraj
Ladomirova;Okres Svidnik;Presovsky kraj
Ladzany;Okres Krupina;Banskobystricky kraj
Laksarska Nova Ves;Okres Senica;Trnavsky kraj
Lascov;Okres Bardejov;Presovsky kraj
Laskar;Okres Martin;Zilinsky kraj
Laskovce;Okres Michalovce;Kosicky kraj
Lastomir;Okres Michalovce;Kosicky kraj
Lastovce;Okres Trebisov;Kosicky kraj
Latky;Okres Detva;Banskobystricky kraj
Lazany, okres Prievidza;Okres Prievidza;Trenciansky kraj
Lazany, okres Presov;Okres Presov;Presovsky kraj
Lazisko;Okres Liptovsky Mikulas;Zilinsky kraj
Lazy pod Makytou;Okres Puchov;Trenciansky kraj
Lednica;Okres Puchov;Trenciansky kraj
Lednicke Rovne;Okres Puchov;Trenciansky kraj
Legnava;Okres Stara Lubovna;Presovsky kraj
Lehnice;Okres Dunajska Streda;Trnavsky kraj
Lehota;Okres Nitra;Nitriansky kraj
Lehota nad Rimavicou;Okres Rimavska Sobota;Banskobystricky kraj
Lehota pod Vtacnikom;Okres Prievidza;Trenciansky kraj
Lehotka;Okres Lucenec;Banskobystricky kraj
Lehotka pod Brehmi;Okres Ziar nad Hronom;Banskobystricky kraj
Lechnica;Okres Kezmarok;Presovsky kraj
Lekarovce;Okres Sobrance;Kosicky kraj
Lela;Okres Nove Zamky;Nitriansky kraj
Leles;Okres Trebisov;Kosicky kraj
Lemesany;Okres Presov;Presovsky kraj
Lenartov;Okres Bardejov;Presovsky kraj
Lenartovce;Okres Rimavska Sobota;Banskobystricky kraj
Lendak;Okres Kezmarok;Presovsky kraj
Lenka;Okres Rimavska Sobota;Banskobystricky kraj
Lentvora;Okres Lucenec;Banskobystricky kraj
Leopoldov;Okres Hlohovec;Trnavsky kraj
Lesenice;Okres Velky Krtis;Banskobystricky kraj
Lesicek;Okres Presov;Presovsky kraj
Lesne;Okres Michalovce;Kosicky kraj
Lesnica;Okres Stara Lubovna;Presovsky kraj
Lest, vojensky obvod;Okres Zvolen;Banskobystricky kraj
Lestiny;Okres Dolny Kubin;Zilinsky kraj
Letanovce;Okres Spisska Nova Ves;Kosicky kraj
Letnicie;Okres Skalica;Trnavsky kraj
Levare;Okres Revuca;Banskobystricky kraj
Levice;Okres Levice;Nitriansky kraj
Levkuska;Okres Revuca;Banskobystricky kraj
Levoca;Okres Levoca;Presovsky kraj
Leziachov;Okres Martin;Zilinsky kraj
Libichava;Okres Banovce nad Bebravou;Trenciansky kraj
Licartovce;Okres Presov;Presovsky kraj
Licince;Okres Revuca;Banskobystricky kraj
Liesek;Okres Tvrdosin;Zilinsky kraj
Lieskovany;Okres Spisska Nova Ves;Kosicky kraj
Lieskovec, okres Humenne;Okres Humenne;Presovsky kraj
Lieskovec, okres Zvolen;Okres Zvolen;Banskobystricky kraj
Liesno;Okres Turcianske Teplice;Zilinsky kraj
Liestany;Okres Prievidza;Trenciansky kraj
Lietava;Okres Zilina;Zilinsky kraj
Lietavska Lucka;Okres Zilina;Zilinsky kraj
Lietavska Svinna-Babkov;Okres Zilina;Zilinsky kraj
Likavka;Okres Ruzomberok;Zilinsky kraj
Limbach;Okres Pezinok;Bratislavsky kraj
Lipany;Okres Sabinov;Presovsky kraj
Lipnik;Okres Prievidza;Trenciansky kraj
Lipniky;Okres Presov;Presovsky kraj
Lipova, okres Bardejov;Okres Bardejov;Presovsky kraj
Lipova, okres Nove Zamky;Okres Nove Zamky;Nitriansky kraj
Lipovany;Okres Lucenec;Banskobystricky kraj
Lipovce;Okres Presov;Presovsky kraj
Lipove;Okres Komarno;Nitriansky kraj
Lipovec, okres Martin;Okres Martin;Zilinsky kraj
Lipovec, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Lipovnik, okres Roznava;Okres Roznava;Kosicky kraj
Lipovnik, okres Topolcany;Okres Topolcany;Nitriansky kraj
Liptovska Anna;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovska Kokava;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovska Luzna;Okres Ruzomberok;Zilinsky kraj
Liptovska Osada;Okres Ruzomberok;Zilinsky kraj
Liptovska Porubka;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovska Sielnica;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovska Stiavnica;Okres Ruzomberok;Zilinsky kraj
Liptovska Tepla;Okres Ruzomberok;Zilinsky kraj
Liptovska Teplicka;Okres Poprad;Presovsky kraj
Liptovske Beharovce;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovske Klacany;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovske Matiasovce;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovske Revuce;Okres Ruzomberok;Zilinsky kraj
Liptovske Sliace;Okres Ruzomberok;Zilinsky kraj
Liptovsky Hradok;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovsky Jan;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovsky Michal;Okres Ruzomberok;Zilinsky kraj
Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovsky Ondrej;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovsky Peter;Okres Liptovsky Mikulas;Zilinsky kraj
Liptovsky Trnovec;Okres Liptovsky Mikulas;Zilinsky kraj
Liskova;Okres Ruzomberok;Zilinsky kraj
Lisov;Okres Krupina;Banskobystricky kraj
Litava;Okres Krupina;Banskobystricky kraj
Litmanova;Okres Stara Lubovna;Presovsky kraj
Livina;Okres Partizanske;Trenciansky kraj
Livinske Opatovce;Okres Partizanske;Trenciansky kraj
Livov;Okres Bardejov;Presovsky kraj
Livovska Huta;Okres Bardejov;Presovsky kraj
Lodno;Okres Kysucke Nove Mesto;Zilinsky kraj
Lok;Okres Levice;Nitriansky kraj
Lokca;Okres Namestovo;Zilinsky kraj
Lom nad Rimavicou;Okres Brezno;Banskobystricky kraj
Lomna;Okres Namestovo;Zilinsky kraj
Lomne;Okres Stropkov;Presovsky kraj
Lomnicka;Okres Stara Lubovna;Presovsky kraj
Lontov;Okres Levice;Nitriansky kraj
Lopasov;Okres Skalica;Trnavsky kraj
Lopuchov;Okres Bardejov;Presovsky kraj
Lopusne Pazite;Okres Kysucke Nove Mesto;Zilinsky kraj
Losonec;Okres Trnava;Trnavsky kraj
Lovca;Okres Ziar nad Hronom;Banskobystricky kraj
Lovce;Okres Zlate Moravce;Nitriansky kraj
Lovcica-Trubin;Okres Ziar nad Hronom;Banskobystricky kraj
Lovinobana;Okres Lucenec;Banskobystricky kraj
Lozin;Okres Michalovce;Kosicky kraj
Lozorno;Okres Malacky;Bratislavsky kraj
Luba;Okres Nove Zamky;Nitriansky kraj
Lubela;Okres Liptovsky Mikulas;Zilinsky kraj
Lubenik;Okres Revuca;Banskobystricky kraj
Lubica;Okres Kezmarok;Presovsky kraj
Lubietova;Okres Banska Bystrica;Banskobystricky kraj
Lubina;Okres Nove Mesto nad Vahom;Trenciansky kraj
Lubisa;Okres Humenne;Presovsky kraj
Lubochna;Okres Ruzomberok;Zilinsky kraj
Luborec;Okres Lucenec;Banskobystricky kraj
Luboriecka;Okres Velky Krtis;Banskobystricky kraj
Lubotice;Okres Presov;Presovsky kraj
Lubotin;Okres Stara Lubovna;Presovsky kraj
Lubovec;Okres Presov;Presovsky kraj
Luc na Ostrove;Okres Dunajska Streda;Trnavsky kraj
Lucatin;Okres Banska Bystrica;Banskobystricky kraj
Lucenec;Okres Lucenec;Banskobystricky kraj
Lucina;Okres Presov;Presovsky kraj
Lucivna;Okres Poprad;Presovsky kraj
Lucka, okres Levoca;Okres Levoca;Presovsky kraj
Lucka, okres Roznava;Okres Roznava;Kosicky kraj
Lucka, okres Sabinov;Okres Sabinov;Presovsky kraj
Lucka, okres Svidnik;Okres Svidnik;Presovsky kraj
Lucky, okres Michalovce;Okres Michalovce;Kosicky kraj
Lucky, okres Ruzomberok;Okres Ruzomberok;Zilinsky kraj
Lucky, okres Ziar nad Hronom;Okres Ziar nad Hronom;Banskobystricky kraj
Lucnica nad Zitavou;Okres Nitra;Nitriansky kraj
Ludanice;Okres Topolcany;Nitriansky kraj
Ludovitova;Okres Nitra;Nitriansky kraj
Ludrova;Okres Ruzomberok;Zilinsky kraj
Luhyna;Okres Trebisov;Kosicky kraj
Luka;Okres Nove Mesto nad Vahom;Trenciansky kraj
Lukacovce, okres Nitra;Okres Nitra;Nitriansky kraj
Lukacovce, okres Humenne;Okres Humenne;Presovsky kraj
Lukavica, okres Bardejov;Okres Bardejov;Presovsky kraj
Lukavica, okres Zvolen;Okres Zvolen;Banskobystricky kraj
Lukov;Okres Bardejov;Presovsky kraj
Lukovistia;Okres Rimavska Sobota;Banskobystricky kraj
Luky;Okres Puchov;Trenciansky kraj
Lula;Okres Levice;Nitriansky kraj
Lupoc;Okres Lucenec;Banskobystricky kraj
Lutila;Okres Ziar nad Hronom;Banskobystricky kraj
Lutina;Okres Sabinov;Presovsky kraj
Lutise;Okres Zilina;Zilinsky kraj
Lutov;Okres Banovce nad Bebravou;Trenciansky kraj
Luzany;Okres Topolcany;Nitriansky kraj
Luzany pri Topli;Okres Svidnik;Presovsky kraj
Luzianky;Okres Nitra;Nitriansky kraj
Lysa pod Makytou;Okres Puchov;Trenciansky kraj
Lysica;Okres Zilina;Zilinsky kraj
Macov;Okres Dunajska Streda;Trnavsky kraj
Mad;Okres Dunajska Streda;Trnavsky kraj
Madunice;Okres Hlohovec;Trnavsky kraj
Magnezitovce;Okres Revuca;Banskobystricky kraj
Machulince;Okres Zlate Moravce;Nitriansky kraj
Majcichov;Okres Trnava;Trnavsky kraj
Majere;Okres Kezmarok;Presovsky kraj
Majerovce;Okres Vranov nad Toplou;Presovsky kraj
Makov;Okres Cadca;Zilinsky kraj
Makovce;Okres Stropkov;Presovsky kraj
Mala Calomija;Okres Velky Krtis;Banskobystricky kraj
Mala Causa;Okres Prievidza;Trenciansky kraj
Mala Cierna;Okres Zilina;Zilinsky kraj
Mala Domasa;Okres Vranov nad Toplou;Presovsky kraj
Mala Frankova;Okres Kezmarok;Presovsky kraj
Mala Hradna;Okres Banovce nad Bebravou;Trenciansky kraj
Mala Ida;Okres Kosice - okolie;Kosicky kraj
Mala Lehota;Okres Zarnovica;Banskobystricky kraj
Mala Lodina;Okres Kosice - okolie;Kosicky kraj
Mala Maca;Okres Galanta;Trnavsky kraj
Mala nad Hronom;Okres Nove Zamky;Nitriansky kraj
Mala Polana;Okres Stropkov;Presovsky kraj
Mala Trna;Okres Trebisov;Kosicky kraj
Malacky;Okres Malacky;Bratislavsky kraj
Malachov;Okres Banska Bystrica;Banskobystricky kraj
Malas;Okres Levice;Nitriansky kraj
Malatina;Okres Dolny Kubin;Zilinsky kraj
Malatiny;Okres Liptovsky Mikulas;Zilinsky kraj
Malcice;Okres Michalovce;Kosicky kraj
Malcov;Okres Bardejov;Presovsky kraj
Male Borove;Okres Liptovsky Mikulas;Zilinsky kraj
Male Dvorniky;Okres Dunajska Streda;Trnavsky kraj
Male Hoste;Okres Banovce nad Bebravou;Trenciansky kraj
Male Chyndice;Okres Nitra;Nitriansky kraj
Male Kosihy;Okres Nove Zamky;Nitriansky kraj
Male Kozmalovce;Okres Levice;Nitriansky kraj
Male Krstenany;Okres Partizanske;Trenciansky kraj
Male Lednice;Okres Povazska Bystrica;Trenciansky kraj
Male Levare;Okres Malacky;Bratislavsky kraj
Male Ludince;Okres Levice;Nitriansky kraj
Male Ozorovce;Okres Trebisov;Kosicky kraj
Male Raskovce;Okres Michalovce;Kosicky kraj
Male Ripnany;Okres Topolcany;Nitriansky kraj
Male Straciny;Okres Velky Krtis;Banskobystricky kraj
Male Trakany;Okres Trebisov;Kosicky kraj
Male Uherce;Okres Partizanske;Trenciansky kraj
Male Vozokany;Okres Zlate Moravce;Nitriansky kraj
Male Zaluzie;Okres Nitra;Nitriansky kraj
Male Zlievce;Okres Velky Krtis;Banskobystricky kraj
Malinec;Okres Poltar;Banskobystricky kraj
Malinova;Okres Prievidza;Trenciansky kraj
Malinovo;Okres Senec;Bratislavsky kraj
Maluzina;Okres Liptovsky Mikulas;Zilinsky kraj
Maly Cepcin;Okres Turcianske Teplice;Zilinsky kraj
Maly Cetin;Okres Nitra;Nitriansky kraj
Maly Hores;Okres Trebisov;Kosicky kraj
Maly Kamenec;Okres Trebisov;Kosicky kraj
Maly Krtis;Okres Velky Krtis;Banskobystricky kraj
Maly Lapas;Okres Nitra;Nitriansky kraj
Maly Lipnik;Okres Stara Lubovna;Presovsky kraj
Maly Saris;Okres Presov;Presovsky kraj
Maly Slavkov;Okres Kezmarok;Presovsky kraj
Maly Slivnik;Okres Presov;Presovsky kraj
Malzenice;Okres Trnava;Trnavsky kraj
Mana;Okres Nove Zamky;Nitriansky kraj
Mankovce;Okres Zlate Moravce;Nitriansky kraj
Marcelova;Okres Komarno;Nitriansky kraj
Margecany;Okres Gelnica;Kosicky kraj
Marhan;Okres Bardejov;Presovsky kraj
Marianka;Okres Malacky;Bratislavsky kraj
Markovce;Okres Michalovce;Kosicky kraj
Markuska;Okres Roznava;Kosicky kraj
Markusovce;Okres Spisska Nova Ves;Kosicky kraj
Marsova-Rasov;Okres Bytca;Zilinsky kraj
Martin;Okres Martin;Zilinsky kraj
Martin nad Zitavou;Okres Zlate Moravce;Nitriansky kraj
Martincek;Okres Ruzomberok;Zilinsky kraj
Martinova;Okres Rimavska Sobota;Banskobystricky kraj
Martovce;Okres Komarno;Nitriansky kraj
Maskova;Okres Lucenec;Banskobystricky kraj
Maskovce;Okres Humenne;Presovsky kraj
Matejovce nad Hornadom;Okres Spisska Nova Ves;Kosicky kraj
Matiaska;Okres Vranov nad Toplou;Presovsky kraj
Matiasovce;Okres Kezmarok;Presovsky kraj
Matovce;Okres Svidnik;Presovsky kraj
Matovske Vojkovce;Okres Michalovce;Kosicky kraj
Matuskovo;Okres Galanta;Trnavsky kraj
Matysova;Okres Stara Lubovna;Presovsky kraj
Medovarce;Okres Krupina;Banskobystricky kraj
Medvedie;Okres Svidnik;Presovsky kraj
Medvedov;Okres Dunajska Streda;Trnavsky kraj
Medzany;Okres Presov;Presovsky kraj
Medzev;Okres Kosice - okolie;Kosicky kraj
Medzianky;Okres Vranov nad Toplou;Presovsky kraj
Medzibrod;Okres Banska Bystrica;Banskobystricky kraj
Medzibrodie nad Oravou;Okres Dolny Kubin;Zilinsky kraj
Medzilaborce;Okres Medzilaborce;Presovsky kraj
Melcice-Lieskove;Okres Trencin;Trenciansky kraj
Melek;Okres Nitra;Nitriansky kraj
Meliata;Okres Roznava;Kosicky kraj
Mengusovce;Okres Poprad;Presovsky kraj
Merasice;Okres Hlohovec;Trnavsky kraj
Mernik;Okres Vranov nad Toplou;Presovsky kraj
Mestecko;Okres Puchov;Trenciansky kraj
Mestisko;Okres Svidnik;Presovsky kraj
Micakovce;Okres Svidnik;Presovsky kraj
Mierovo;Okres Dunajska Streda;Trnavsky kraj
Miezgovce;Okres Banovce nad Bebravou;Trenciansky kraj
Michajlov;Okres Snina;Presovsky kraj
Michal na Ostrove;Okres Dunajska Streda;Trnavsky kraj
Michal nad Zitavou;Okres Nove Zamky;Nitriansky kraj
Michalany;Okres Trebisov;Kosicky kraj
Michalkova;Okres Zvolen;Banskobystricky kraj
Michalok;Okres Vranov nad Toplou;Presovsky kraj
Michalova;Okres Brezno;Banskobystricky kraj
Michalovce;Okres Michalovce;Kosicky kraj
Miklusovce;Okres Presov;Presovsky kraj
Mikova;Okres Stropkov;Presovsky kraj
Mikulasova;Okres Bardejov;Presovsky kraj
Mikusovce, okres Ilava;Okres Ilava;Trenciansky kraj
Mikusovce, okres Lucenec;Okres Lucenec;Banskobystricky kraj
Milhost;Okres Kosice - okolie;Kosicky kraj
Miloslavov;Okres Senec;Bratislavsky kraj
Milpos;Okres Sabinov;Presovsky kraj
Minovce;Okres Stropkov;Presovsky kraj
Mirkovce;Okres Presov;Presovsky kraj
Mirola;Okres Svidnik;Presovsky kraj
Mladzovo;Okres Poltar;Banskobystricky kraj
Mlynarovce;Okres Svidnik;Presovsky kraj
Mlynceky;Okres Kezmarok;Presovsky kraj
Mlynica;Okres Poprad;Presovsky kraj
Mlynky;Okres Spisska Nova Ves;Kosicky kraj
Mnichova Lehota;Okres Trencin;Trenciansky kraj
