Obec;Okres;Kraj
Silica;Okres Roznava;Kosicky kraj
Silicka Brezova;Okres Roznava;Kosicky kraj
Silicka Jablonica;Okres Roznava;Kosicky kraj
Simonovce;Okres Rimavska Sobota;Banskobystricky kraj
Sindliar;Okres Presov;Presovsky kraj
Sintava;Okres Galanta;Trnavsky kraj
Sipkov;Okres Banovce nad Bebravou;Trenciansky kraj
Sipkove;Okres Piestany;Trnavsky kraj
Sirakov;Okres Velky Krtis;Banskobystricky kraj
Sirk;Okres Revuca;Banskobystricky kraj
Sirkovce;Okres Rimavska Sobota;Banskobystricky kraj
Sirnik;Okres Trebisov;Kosicky kraj
Siroke;Okres Presov;Presovsky kraj
Sisov;Okres Banovce nad Bebravou;Trenciansky kraj
Sivetice;Okres Revuca;Banskobystricky kraj
Skacany;Okres Partizanske;Trenciansky kraj
Skalica;Okres Skalica;Trnavsky kraj
Skalite;Okres Cadca;Zilinsky kraj
Skalka nad Vahom;Okres Trencin;Trenciansky kraj
Skaros;Okres Kosice - okolie;Kosicky kraj
Skeresovo;Okres Revuca;Banskobystricky kraj
Sklabina, okres Martin;Okres Martin;Zilinsky kraj
Sklabina, okres Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Sklabinsky Podzamok;Okres Martin;Zilinsky kraj
Sklene;Okres Turcianske Teplice;Zilinsky kraj
Sklene Teplice;Okres Ziar nad Hronom;Banskobystricky kraj
Skrabske;Okres Vranov nad Toplou;Presovsky kraj
Skycov;Okres Zlate Moravce;Nitriansky kraj
Sladkovicovo;Okres Galanta;Trnavsky kraj
Slancik;Okres Kosice - okolie;Kosicky kraj
Slanec;Okres Kosice - okolie;Kosicky kraj
Slanska Huta;Okres Kosice - okolie;Kosicky kraj
Slanske Nove Mesto;Okres Kosice - okolie;Kosicky kraj
Slaska;Okres Ziar nad Hronom;Banskobystricky kraj
Slatina;Okres Levice;Nitriansky kraj
Slatina nad Bebravou;Okres Banovce nad Bebravou;Trenciansky kraj
Slatinka nad Bebravou;Okres Banovce nad Bebravou;Trenciansky kraj
Slatinske Lazy;Okres Detva;Banskobystricky kraj
Slatvina;Okres Spisska Nova Ves;Kosicky kraj
Slavec;Okres Roznava;Kosicky kraj
Slavkovce;Okres Michalovce;Kosicky kraj
Slavnica;Okres Ilava;Trenciansky kraj
Slavoska;Okres Roznava;Kosicky kraj
Slavosovce;Okres Roznava;Kosicky kraj
Slazany;Okres Zlate Moravce;Nitriansky kraj
Slepcany;Okres Zlate Moravce;Nitriansky kraj
Sliac;Okres Zvolen;Banskobystricky kraj
